first,second,third 
"Agriculture, value added (annual % growth)",['/indicator/NV.AGR.TOTL.KD.ZG?downloadformat=excel']
"Agriculture, value added (constant 2010 US$)",['/indicator/NV.AGR.TOTL.KD?downloadformat=excel']
"Agriculture, value added (constant LCU)",['/indicator/NV.AGR.TOTL.KN?downloadformat=excel']
"Agriculture, value added (current LCU)",['/indicator/NV.AGR.TOTL.CN?downloadformat=excel']
"Agriculture, value added (current US$)",['/indicator/NV.AGR.TOTL.CD?downloadformat=excel']
"Central government debt, total (% of GDP)",['/indicator/GC.DOD.TOTL.GD.ZS?downloadformat=excel']
Changes in inventories (constant LCU),['/indicator/NE.GDI.STKB.KN?downloadformat=excel']
Changes in inventories (current LCU),['/indicator/NE.GDI.STKB.CN?downloadformat=excel']
Changes in inventories (current US$),['/indicator/NE.GDI.STKB.CD?downloadformat=excel']
"Charges for the use of intellectual property, payments (BoP, current US$)",['/indicator/BM.GSR.ROYL.CD?downloadformat=excel']
"Charges for the use of intellectual property, receipts (BoP, current US$)",['/indicator/BX.GSR.ROYL.CD?downloadformat=excel']
Chemicals (% of value added in manufacturing),['/indicator/NV.MNF.CHEM.ZS.UN?downloadformat=excel']
"Communications, computer, etc. (% of service exports, BoP)",['/indicator/BX.GSR.CMCP.ZS?downloadformat=excel']
"Communications, computer, etc. (% of service imports, BoP)",['/indicator/BM.GSR.CMCP.ZS?downloadformat=excel']
Current account balance (% of GDP),['/indicator/BN.CAB.XOKA.GD.ZS?downloadformat=excel']
"Current account balance (BoP, current US$)",['/indicator/BN.CAB.XOKA.CD?downloadformat=excel']
DEC alternative conversion factor (LCU per US$),['/indicator/PA.NUS.ATLS?downloadformat=excel']
Discrepancy in expenditure estimate of GDP (constant LCU),['/indicator/NY.GDP.DISC.KN?downloadformat=excel']
Discrepancy in expenditure estimate of GDP (current LCU),['/indicator/NY.GDP.DISC.CN?downloadformat=excel']
Expense (% of GDP),['/indicator/GC.XPN.TOTL.GD.ZS?downloadformat=excel']
Exports as a capacity to import (constant LCU),['/indicator/NY.EXP.CAPM.KN?downloadformat=excel']
Exports of goods and services (% of GDP),['/indicator/NE.EXP.GNFS.ZS?downloadformat=excel']
"Exports of goods and services (BoP, current US$)",['/indicator/BX.GSR.GNFS.CD?downloadformat=excel']
Exports of goods and services (annual % growth),['/indicator/NE.EXP.GNFS.KD.ZG?downloadformat=excel']
Exports of goods and services (constant 2010 US$),['/indicator/NE.EXP.GNFS.KD?downloadformat=excel']
Exports of goods and services (constant LCU),['/indicator/NE.EXP.GNFS.KN?downloadformat=excel']
Exports of goods and services (current LCU),['/indicator/NE.EXP.GNFS.CN?downloadformat=excel']
Exports of goods and services (current US$),['/indicator/NE.EXP.GNFS.CD?downloadformat=excel']
"Exports of goods, services and primary income (BoP, current US$)",['/indicator/BX.GSR.TOTL.CD?downloadformat=excel']
External balance on goods and services (% of GDP),['/indicator/NE.RSB.GNFS.ZS?downloadformat=excel']
External balance on goods and services (constant LCU),['/indicator/NE.RSB.GNFS.KN?downloadformat=excel']
External balance on goods and services (current LCU),['/indicator/NE.RSB.GNFS.CN?downloadformat=excel']
External balance on goods and services (current US$),['/indicator/NE.RSB.GNFS.CD?downloadformat=excel']
External debt stocks (% of GNI),['/indicator/DT.DOD.DECT.GN.ZS?downloadformat=excel']
"External debt stocks (% of exports of goods, services and primary income)",['/indicator/DT.DOD.DECT.EX.ZS?downloadformat=excel']
"External debt stocks, total (DOD, current US$)",['/indicator/DT.DOD.DECT.CD?downloadformat=excel']
Final consumption expenditure (constant 2010 US$),['/indicator/NE.CON.TOTL.KD?downloadformat=excel']
Final consumption expenditure (constant LCU),['/indicator/NE.CON.TOTL.KN?downloadformat=excel']
Final consumption expenditure (current LCU),['/indicator/NE.CON.TOTL.CN?downloadformat=excel']
Final consumption expenditure (current US$),['/indicator/NE.CON.TOTL.CD?downloadformat=excel']
"Final consumption expenditure, etc. (% of GDP)",['/indicator/NE.CON.TETC.ZS?downloadformat=excel']
"Final consumption expenditure, etc. (annual % growth)",['/indicator/NE.CON.TETC.KD.ZG?downloadformat=excel']
"Final consumption expenditure, etc. (constant 2010 US$)",['/indicator/NE.CON.TETC.KD?downloadformat=excel']
"Final consumption expenditure, etc. (constant LCU)",['/indicator/NE.CON.TETC.KN?downloadformat=excel']
"Final consumption expenditure, etc. (current LCU)",['/indicator/NE.CON.TETC.CN?downloadformat=excel']
"Final consumption expenditure, etc. (current US$)",['/indicator/NE.CON.TETC.CD?downloadformat=excel']
"Food, beverages and tobacco (% of value added in manufacturing)",['/indicator/NV.MNF.FBTO.ZS.UN?downloadformat=excel']
"Foreign direct investment, net (BoP, current US$)",['/indicator/BN.KLT.DINV.CD?downloadformat=excel']
"Foreign direct investment, net inflows (% of GDP)",['/indicator/BX.KLT.DINV.WD.GD.ZS?downloadformat=excel']
"Foreign direct investment, net inflows (BoP, current US$)",['/indicator/BX.KLT.DINV.CD.WD?downloadformat=excel']
"Foreign direct investment, net outflows (% of GDP)",['/indicator/BM.KLT.DINV.WD.GD.ZS?downloadformat=excel']
"Foreign direct investment, net outflows (BoP, current US$)",['/indicator/BM.KLT.DINV.CD.WD?downloadformat=excel']
GDP (constant 2010 US$),['/indicator/NY.GDP.MKTP.KD?downloadformat=excel']
GDP (constant LCU),['/indicator/NY.GDP.MKTP.KN?downloadformat=excel']
GDP (current LCU),['/indicator/NY.GDP.MKTP.CN?downloadformat=excel']
GDP (current US$),['/indicator/NY.GDP.MKTP.CD?downloadformat=excel']
GDP at market prices: linked series (current LCU),['/indicator/NY.GDP.MKTP.CN.AD?downloadformat=excel']
GDP deflator (base year varies by country),['/indicator/NY.GDP.DEFL.ZS?downloadformat=excel']
GDP growth (annual %),['/indicator/NY.GDP.MKTP.KD.ZG?downloadformat=excel']
GDP per capita (constant 2010 US$),['/indicator/NY.GDP.PCAP.KD?downloadformat=excel']
GDP per capita (constant LCU),['/indicator/NY.GDP.PCAP.KN?downloadformat=excel']
GDP per capita (current LCU),['/indicator/NY.GDP.PCAP.CN?downloadformat=excel']
GDP per capita (current US$),['/indicator/NY.GDP.PCAP.CD?downloadformat=excel']
GDP per capita growth (annual %),['/indicator/NY.GDP.PCAP.KD.ZG?downloadformat=excel']
"GDP per capita, PPP (constant 2011 international $)",['/indicator/NY.GDP.PCAP.PP.KD?downloadformat=excel']
"GDP per capita, PPP (current international $)",['/indicator/NY.GDP.PCAP.PP.CD?downloadformat=excel']
"GDP, PPP (constant 2011 international $)",['/indicator/NY.GDP.MKTP.PP.KD?downloadformat=excel']
"GDP, PPP (current international $)",['/indicator/NY.GDP.MKTP.PP.CD?downloadformat=excel']
GNI (constant 2010 US$),['/indicator/NY.GNP.MKTP.KD?downloadformat=excel']
GNI (constant LCU),['/indicator/NY.GNP.MKTP.KN?downloadformat=excel']
GNI (current LCU),['/indicator/NY.GNP.MKTP.CN?downloadformat=excel']
GNI (current US$),['/indicator/NY.GNP.MKTP.CD?downloadformat=excel']
GNI growth (annual %),['/indicator/NY.GNP.MKTP.KD.ZG?downloadformat=excel']
GNI per capita (constant 2010 US$),['/indicator/NY.GNP.PCAP.KD?downloadformat=excel']
GNI per capita (constant LCU),['/indicator/NY.GNP.PCAP.KN?downloadformat=excel']
GNI per capita (current LCU),['/indicator/NY.GNP.PCAP.CN?downloadformat=excel']
GNI per capita growth (annual %),['/indicator/NY.GNP.PCAP.KD.ZG?downloadformat=excel']
"GNI per capita, Atlas method (current US$)",['/indicator/NY.GNP.PCAP.CD?downloadformat=excel']
"GNI per capita, PPP (constant 2011 international $)",['/indicator/NY.GNP.PCAP.PP.KD?downloadformat=excel']
"GNI per capita, PPP (current international $)",['/indicator/NY.GNP.PCAP.PP.CD?downloadformat=excel']
"GNI, Atlas method (current US$)",['/indicator/NY.GNP.ATLS.CD?downloadformat=excel']
"GNI, PPP (constant 2011 international $)",['/indicator/NY.GNP.MKTP.PP.KD?downloadformat=excel']
"GNI, PPP (current international $)",['/indicator/NY.GNP.MKTP.PP.CD?downloadformat=excel']
General government final consumption expenditure (% of GDP),['/indicator/NE.CON.GOVT.ZS?downloadformat=excel']
General government final consumption expenditure (annual % growth),['/indicator/NE.CON.GOVT.KD.ZG?downloadformat=excel']
General government final consumption expenditure (constant 2010 US$),['/indicator/NE.CON.GOVT.KD?downloadformat=excel']
General government final consumption expenditure (constant LCU),['/indicator/NE.CON.GOVT.KN?downloadformat=excel']
General government final consumption expenditure (current LCU),['/indicator/NE.CON.GOVT.CN?downloadformat=excel']
General government final consumption expenditure (current US$),['/indicator/NE.CON.GOVT.CD?downloadformat=excel']
"Goods exports (BoP, current US$)",['/indicator/BX.GSR.MRCH.CD?downloadformat=excel']
"Goods imports (BoP, current US$)",['/indicator/BM.GSR.MRCH.CD?downloadformat=excel']
"Grants, excluding technical cooperation (BoP, current US$)",['/indicator/BX.GRT.EXTA.CD.WD?downloadformat=excel']
Gross capital formation (% of GDP),['/indicator/NE.GDI.TOTL.ZS?downloadformat=excel']
Gross capital formation (annual % growth),['/indicator/NE.GDI.TOTL.KD.ZG?downloadformat=excel']
Gross capital formation (constant 2010 US$),['/indicator/NE.GDI.TOTL.KD?downloadformat=excel']
Gross capital formation (constant LCU),['/indicator/NE.GDI.TOTL.KN?downloadformat=excel']
Gross capital formation (current LCU),['/indicator/NE.GDI.TOTL.CN?downloadformat=excel']
Gross capital formation (current US$),['/indicator/NE.GDI.TOTL.CD?downloadformat=excel']
Gross domestic income (constant LCU),['/indicator/NY.GDY.TOTL.KN?downloadformat=excel']
Gross domestic savings (% of GDP),['/indicator/NY.GDS.TOTL.ZS?downloadformat=excel']
Gross domestic savings (current LCU),['/indicator/NY.GDS.TOTL.CN?downloadformat=excel']
Gross domestic savings (current US$),['/indicator/NY.GDS.TOTL.CD?downloadformat=excel']
Gross fixed capital formation (% of GDP),['/indicator/NE.GDI.FTOT.ZS?downloadformat=excel']
Gross fixed capital formation (annual % growth),['/indicator/NE.GDI.FTOT.KD.ZG?downloadformat=excel']
Gross fixed capital formation (constant 2010 US$),['/indicator/NE.GDI.FTOT.KD?downloadformat=excel']
Gross fixed capital formation (constant LCU),['/indicator/NE.GDI.FTOT.KN?downloadformat=excel']
Gross fixed capital formation (current LCU),['/indicator/NE.GDI.FTOT.CN?downloadformat=excel']
Gross fixed capital formation (current US$),['/indicator/NE.GDI.FTOT.CD?downloadformat=excel']
"Gross fixed capital formation, private sector (% of GDP)",['/indicator/NE.GDI.FPRV.ZS?downloadformat=excel']
"Gross fixed capital formation, private sector (current LCU)",['/indicator/NE.GDI.FPRV.CN?downloadformat=excel']
Gross national expenditure (% of GDP),['/indicator/NE.DAB.TOTL.ZS?downloadformat=excel']
Gross national expenditure (constant 2010 US$),['/indicator/NE.DAB.TOTL.KD?downloadformat=excel']
Gross national expenditure (constant LCU),['/indicator/NE.DAB.TOTL.KN?downloadformat=excel']
Gross national expenditure (current LCU),['/indicator/NE.DAB.TOTL.CN?downloadformat=excel']
Gross national expenditure (current US$),['/indicator/NE.DAB.TOTL.CD?downloadformat=excel']
Gross national expenditure deflator (base year varies by country),['/indicator/NE.DAB.DEFL.ZS?downloadformat=excel']
Gross savings (% of GDP),['/indicator/NY.GNS.ICTR.ZS?downloadformat=excel']
Gross savings (% of GNI),['/indicator/NY.GNS.ICTR.GN.ZS?downloadformat=excel']
Gross savings (current LCU),['/indicator/NY.GNS.ICTR.CN?downloadformat=excel']
Gross savings (current US$),['/indicator/NY.GNS.ICTR.CD?downloadformat=excel']
Gross value added at factor cost (constant 2010 US$),['/indicator/NY.GDP.FCST.KD?downloadformat=excel']
Gross value added at factor cost (constant LCU),['/indicator/NY.GDP.FCST.KN?downloadformat=excel']
Gross value added at factor cost (current LCU),['/indicator/NY.GDP.FCST.CN?downloadformat=excel']
Gross value added at factor cost (current US$),['/indicator/NY.GDP.FCST.CD?downloadformat=excel']
Household final consumption expenditure (annual % growth),['/indicator/NE.CON.PRVT.KD.ZG?downloadformat=excel']
Household final consumption expenditure (constant 2010 US$),['/indicator/NE.CON.PRVT.KD?downloadformat=excel']
Household final consumption expenditure (constant LCU),['/indicator/NE.CON.PRVT.KN?downloadformat=excel']
Household final consumption expenditure (current LCU),['/indicator/NE.CON.PRVT.CN?downloadformat=excel']
Household final consumption expenditure (current US$),['/indicator/NE.CON.PRVT.CD?downloadformat=excel']
Household final consumption expenditure per capita (constant 2010 US$),['/indicator/NE.CON.PRVT.PC.KD?downloadformat=excel']
Household final consumption expenditure per capita growth (annual %),['/indicator/NE.CON.PRVT.PC.KD.ZG?downloadformat=excel']
"Household final consumption expenditure, PPP (constant 2011 international $)",['/indicator/NE.CON.PRVT.PP.KD?downloadformat=excel']
"Household final consumption expenditure, PPP (current international $)",['/indicator/NE.CON.PRVT.PP.CD?downloadformat=excel']
"Household final consumption expenditure, etc. (% of GDP)",['/indicator/NE.CON.PETC.ZS?downloadformat=excel']
"Household final consumption expenditure, etc. (annual % growth)",['/indicator/NE.CON.PETC.KD.ZG?downloadformat=excel']
"Household final consumption expenditure, etc. (constant 2010 US$)",['/indicator/NE.CON.PETC.KD?downloadformat=excel']
"Household final consumption expenditure, etc. (constant LCU)",['/indicator/NE.CON.PETC.KN?downloadformat=excel']
"Household final consumption expenditure, etc. (current LCU)",['/indicator/NE.CON.PETC.CN?downloadformat=excel']
"Household final consumption expenditure, etc. (current US$)",['/indicator/NE.CON.PETC.CD?downloadformat=excel']
"ICT service exports (% of service exports, BoP)",['/indicator/BX.GSR.CCIS.ZS?downloadformat=excel']
"ICT service exports (BoP, current US$)",['/indicator/BX.GSR.CCIS.CD?downloadformat=excel']
Imports of goods and services (% of GDP),['/indicator/NE.IMP.GNFS.ZS?downloadformat=excel']
"Imports of goods and services (BoP, current US$)",['/indicator/BM.GSR.GNFS.CD?downloadformat=excel']
Imports of goods and services (annual % growth),['/indicator/NE.IMP.GNFS.KD.ZG?downloadformat=excel']
Imports of goods and services (constant 2010 US$),['/indicator/NE.IMP.GNFS.KD?downloadformat=excel']
Imports of goods and services (constant LCU),['/indicator/NE.IMP.GNFS.KN?downloadformat=excel']
Imports of goods and services (current LCU),['/indicator/NE.IMP.GNFS.CN?downloadformat=excel']
Imports of goods and services (current US$),['/indicator/NE.IMP.GNFS.CD?downloadformat=excel']
"Imports of goods, services and primary income (BoP, current US$)",['/indicator/BM.GSR.TOTL.CD?downloadformat=excel']
"Industry, value added (% of GDP)",['/indicator/NV.IND.TOTL.ZS?downloadformat=excel']
"Industry, value added (annual % growth)",['/indicator/NV.IND.TOTL.KD.ZG?downloadformat=excel']
"Industry, value added (constant 2010 US$)",['/indicator/NV.IND.TOTL.KD?downloadformat=excel']
"Industry, value added (constant LCU)",['/indicator/NV.IND.TOTL.KN?downloadformat=excel']
"Industry, value added (current LCU)",['/indicator/NV.IND.TOTL.CN?downloadformat=excel']
"Industry, value added (current US$)",['/indicator/NV.IND.TOTL.CD?downloadformat=excel']
"Inflation, GDP deflator (annual %)",['/indicator/NY.GDP.DEFL.KD.ZG?downloadformat=excel']
"Inflation, consumer prices (annual %)",['/indicator/FP.CPI.TOTL.ZG?downloadformat=excel']
"Insurance and financial services (% of service exports, BoP)",['/indicator/BX.GSR.INSF.ZS?downloadformat=excel']
"Insurance and financial services (% of service imports, BoP)",['/indicator/BM.GSR.INSF.ZS?downloadformat=excel']
Interest payments on external debt (% of GNI),['/indicator/DT.INT.DECT.GN.ZS?downloadformat=excel']
"Interest payments on external debt (% of exports of goods, services and primary income)",['/indicator/DT.INT.DECT.EX.ZS?downloadformat=excel']
Machinery and transport equipment (% of value added in manufacturing),['/indicator/NV.MNF.MTRN.ZS.UN?downloadformat=excel']
"Manufacturing, value added (% of GDP)",['/indicator/NV.IND.MANF.ZS?downloadformat=excel']
"Manufacturing, value added (annual % growth)",['/indicator/NV.IND.MANF.KD.ZG?downloadformat=excel']
"Manufacturing, value added (constant 2010 US$)",['/indicator/NV.IND.MANF.KD?downloadformat=excel']
"Manufacturing, value added (constant LCU)",['/indicator/NV.IND.MANF.KN?downloadformat=excel']
"Manufacturing, value added (current LCU)",['/indicator/NV.IND.MANF.CN?downloadformat=excel']
"Manufacturing, value added (current US$)",['/indicator/NV.IND.MANF.CD?downloadformat=excel']
Net ODA received (% of GNI),['/indicator/DT.ODA.ODAT.GN.ZS?downloadformat=excel']
Net ODA received per capita (current US$),['/indicator/DT.ODA.ODAT.PC.ZS?downloadformat=excel']
"Net capital account (BoP, current US$)",['/indicator/BN.TRF.KOGT.CD?downloadformat=excel']
Net current transfers from abroad (constant LCU),['/indicator/NY.TRF.NCTR.KN?downloadformat=excel']
Net current transfers from abroad (current LCU),['/indicator/NY.TRF.NCTR.CN?downloadformat=excel']
Net current transfers from abroad (current US$),['/indicator/NY.TRF.NCTR.CD?downloadformat=excel']
"Net errors and omissions (BoP, current US$)",['/indicator/BN.KAC.EOMS.CD?downloadformat=excel']
"Net financial account (BoP, current US$)",['/indicator/BN.FIN.TOTL.CD?downloadformat=excel']
Net income from abroad (constant LCU),['/indicator/NY.GSR.NFCY.KN?downloadformat=excel']
Net income from abroad (current LCU),['/indicator/NY.GSR.NFCY.CN?downloadformat=excel']
Net income from abroad (current US$),['/indicator/NY.GSR.NFCY.CD?downloadformat=excel']
Net official development assistance received (current US$),['/indicator/DT.ODA.ODAT.CD?downloadformat=excel']
"Net primary income (BoP, current US$)",['/indicator/BN.GSR.FCTY.CD?downloadformat=excel']
"Net secondary income (BoP, current US$)",['/indicator/BN.TRF.CURR.CD?downloadformat=excel']
Net taxes on products (constant LCU),['/indicator/NY.TAX.NIND.KN?downloadformat=excel']
Net taxes on products (current LCU),['/indicator/NY.TAX.NIND.CN?downloadformat=excel']
Net taxes on products (current US$),['/indicator/NY.TAX.NIND.CD?downloadformat=excel']
"Net trade in goods (BoP, current US$)",['/indicator/BN.GSR.MRCH.CD?downloadformat=excel']
"Net trade in goods and services (BoP, current US$)",['/indicator/BN.GSR.GNFS.CD?downloadformat=excel']
Other manufacturing (% of value added in manufacturing),['/indicator/NV.MNF.OTHR.ZS.UN?downloadformat=excel']
"PPP conversion factor, GDP (LCU per international $)",['/indicator/PA.NUS.PPP?downloadformat=excel']
"PPP conversion factor, private consumption (LCU per international $)",['/indicator/PA.NUS.PRVT.PP?downloadformat=excel']
"Personal remittances, paid (current US$)",['/indicator/BM.TRF.PWKR.CD.DT?downloadformat=excel']
"Personal remittances, received (% of GDP)",['/indicator/BX.TRF.PWKR.DT.GD.ZS?downloadformat=excel']
"Personal remittances, received (current US$)",['/indicator/BX.TRF.PWKR.CD.DT?downloadformat=excel']
"Personal transfers, receipts (BoP, current US$)",['/indicator/BX.TRF.PWKR.CD?downloadformat=excel']
"Portfolio Investment, net (BoP, current US$)",['/indicator/BN.KLT.PTXL.CD?downloadformat=excel']
"Portfolio equity, net inflows (BoP, current US$)",['/indicator/BX.PEF.TOTL.CD.WD?downloadformat=excel']
Present value of external debt (% of GNI),['/indicator/DT.DOD.PVLX.GN.ZS?downloadformat=excel']
"Present value of external debt (% of exports of goods, services and primary income)",['/indicator/DT.DOD.PVLX.EX.ZS?downloadformat=excel']
Present value of external debt (current US$),['/indicator/DT.DOD.PVLX.CD?downloadformat=excel']
Price level ratio of PPP conversion factor (GDP) to market exchange rate,['/indicator/PA.NUS.PPPC.RF?downloadformat=excel']
"Primary income on FDI, payments (current US$)",['/indicator/BX.KLT.DREM.CD.DT?downloadformat=excel']
"Primary income payments (BoP, current US$)",['/indicator/BM.GSR.FCTY.CD?downloadformat=excel']
"Primary income receipts (BoP, current US$)",['/indicator/BX.GSR.FCTY.CD?downloadformat=excel']
"Reserves and related items (BoP, current US$)",['/indicator/BN.RES.INCL.CD?downloadformat=excel']
"Revenue, excluding grants (% of GDP)",['/indicator/GC.REV.XGRT.GD.ZS?downloadformat=excel']
"Secondary income receipts (BoP, current US$)",['/indicator/BX.TRF.CURR.CD?downloadformat=excel']
"Secondary income, other sectors, payments (BoP, current US$)",['/indicator/BM.TRF.PRVT.CD?downloadformat=excel']
"Service exports (BoP, current US$)",['/indicator/BX.GSR.NFSV.CD?downloadformat=excel']
"Service imports (BoP, current US$)",['/indicator/BM.GSR.NFSV.CD?downloadformat=excel']
"Services, etc., value added (% of GDP)",['/indicator/NV.SRV.TETC.ZS?downloadformat=excel']
"Services, etc., value added (annual % growth)",['/indicator/NV.SRV.TETC.KD.ZG?downloadformat=excel']
"Services, etc., value added (constant 2010 US$)",['/indicator/NV.SRV.TETC.KD?downloadformat=excel']
"Services, etc., value added (constant LCU)",['/indicator/NV.SRV.TETC.KN?downloadformat=excel']
"Services, etc., value added (current LCU)",['/indicator/NV.SRV.TETC.CN?downloadformat=excel']
"Services, etc., value added (current US$)",['/indicator/NV.SRV.TETC.CD?downloadformat=excel']
"Short-term debt (% of exports of goods, services and primary income)",['/indicator/DT.DOD.DSTC.XP.ZS?downloadformat=excel']
Short-term debt (% of total reserves),['/indicator/DT.DOD.DSTC.IR.ZS?downloadformat=excel']
"Technical cooperation grants (BoP, current US$)",['/indicator/BX.GRT.TECH.CD.WD?downloadformat=excel']
Terms of trade adjustment (constant LCU),['/indicator/NY.TTF.GNFS.KN?downloadformat=excel']
Textiles and clothing (% of value added in manufacturing),['/indicator/NV.MNF.TXTL.ZS.UN?downloadformat=excel']
Total debt service (% of GNI),['/indicator/DT.TDS.DECT.GN.ZS?downloadformat=excel']
"Total debt service (% of exports of goods, services and primary income)",['/indicator/DT.TDS.DECT.EX.ZS?downloadformat=excel']
"Total reserves (includes gold, current US$)",['/indicator/FI.RES.TOTL.CD?downloadformat=excel']
Total reserves minus gold (current US$),['/indicator/FI.RES.XGLD.CD?downloadformat=excel']
Trade (% of GDP),['/indicator/NE.TRD.GNFS.ZS?downloadformat=excel']
Trade in services (% of GDP),['/indicator/BG.GSR.NFSV.GD.ZS?downloadformat=excel']
"Transport services (% of service exports, BoP)",['/indicator/BX.GSR.TRAN.ZS?downloadformat=excel']
"Transport services (% of service imports, BoP)",['/indicator/BM.GSR.TRAN.ZS?downloadformat=excel']
"Travel services (% of service exports, BoP)",['/indicator/BX.GSR.TRVL.ZS?downloadformat=excel']
"Travel services (% of service imports, BoP)",['/indicator/BM.GSR.TRVL.ZS?downloadformat=excel']
"Adjusted net enrollment rate, primary, female (% of primary school age children)",['/indicator/SE.PRM.TENR.FE?downloadformat=excel']
"Adjusted net enrollment rate, primary, male (% of primary school age children)",['/indicator/SE.PRM.TENR.MA?downloadformat=excel']
"Adjusted net enrolment rate, primary, both sexes (%)",['/indicator/SE.PRM.TENR?downloadformat=excel']
Adolescents out of school (% of lower secondary school age),['/indicator/SE.SEC.UNER.LO.ZS?downloadformat=excel']
"Adolescents out of school, female (% of female lower secondary school age)",['/indicator/SE.SEC.UNER.LO.FE.ZS?downloadformat=excel']
"Adolescents out of school, male (% of male lower secondary school age)",['/indicator/SE.SEC.UNER.LO.MA.ZS?downloadformat=excel']
"Adult literacy rate, population 15+ years, both sexes (%)",['/indicator/SE.ADT.LITR.ZS?downloadformat=excel']
"All education staff compensation, primary (% of total expenditure in primary public institutions)",['/indicator/SE.XPD.MPRM.ZS?downloadformat=excel']
"All education staff compensation, secondary (% of total expenditure in secondary public institutions)",['/indicator/SE.XPD.MSEC.ZS?downloadformat=excel']
"All education staff compensation, tertiary (% of total expenditure in tertiary public institutions)",['/indicator/SE.XPD.MTER.ZS?downloadformat=excel']
"All education staff compensation, total (% of total expenditure in public institutions)",['/indicator/SE.XPD.MTOT.ZS?downloadformat=excel']
Children out of school (% of primary school age),['/indicator/SE.PRM.UNER.ZS?downloadformat=excel']
"Children out of school, female (% of female primary school age)",['/indicator/SE.PRM.UNER.FE.ZS?downloadformat=excel']
"Children out of school, male (% of male primary school age)",['/indicator/SE.PRM.UNER.MA.ZS?downloadformat=excel']
"Children out of school, primary, female",['/indicator/SE.PRM.UNER.FE?downloadformat=excel']
"Children out of school, primary, male",['/indicator/SE.PRM.UNER.MA?downloadformat=excel']
"Current education expenditure, primary (% of total expenditure in primary public institutions)",['/indicator/SE.XPD.CPRM.ZS?downloadformat=excel']
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",['/indicator/SE.XPD.CSEC.ZS?downloadformat=excel']
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",['/indicator/SE.XPD.CTER.ZS?downloadformat=excel']
"Current education expenditure, total (% of total expenditure in public institutions)",['/indicator/SE.XPD.CTOT.ZS?downloadformat=excel']
Duration of compulsory education (years),['/indicator/SE.COM.DURS?downloadformat=excel']
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",['/indicator/SE.TER.CUAT.DO.FE.ZS?downloadformat=excel']
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",['/indicator/SE.TER.CUAT.DO.MA.ZS?downloadformat=excel']
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",['/indicator/SE.TER.CUAT.DO.ZS?downloadformat=excel']
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",['/indicator/SE.TER.CUAT.BA.FE.ZS?downloadformat=excel']
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",['/indicator/SE.TER.CUAT.BA.MA.ZS?downloadformat=excel']
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",['/indicator/SE.TER.CUAT.BA.ZS?downloadformat=excel']
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",['/indicator/SE.TER.CUAT.MS.FE.ZS?downloadformat=excel']
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",['/indicator/SE.TER.CUAT.MS.MA.ZS?downloadformat=excel']
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",['/indicator/SE.TER.CUAT.MS.ZS?downloadformat=excel']
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",['/indicator/SE.SEC.CUAT.LO.FE.ZS?downloadformat=excel']
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",['/indicator/SE.SEC.CUAT.LO.MA.ZS?downloadformat=excel']
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",['/indicator/SE.SEC.CUAT.LO.ZS?downloadformat=excel']
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",['/indicator/SE.SEC.CUAT.PO.FE.ZS?downloadformat=excel']
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",['/indicator/SE.SEC.CUAT.PO.MA.ZS?downloadformat=excel']
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",['/indicator/SE.SEC.CUAT.PO.ZS?downloadformat=excel']
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",['/indicator/SE.PRM.CUAT.FE.ZS?downloadformat=excel']
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",['/indicator/SE.PRM.CUAT.MA.ZS?downloadformat=excel']
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",['/indicator/SE.PRM.CUAT.ZS?downloadformat=excel']
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",['/indicator/SE.TER.CUAT.ST.FE.ZS?downloadformat=excel']
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",['/indicator/SE.TER.CUAT.ST.MA.ZS?downloadformat=excel']
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",['/indicator/SE.TER.CUAT.ST.ZS?downloadformat=excel']
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",['/indicator/SE.SEC.CUAT.UP.FE.ZS?downloadformat=excel']
